OrderID,CustomerID,OrderDate,Status
1,592,2020-10-17 07:35:56,Returned
2,262,2021-05-13 02:59:02,Cancelled
3,646,2021-05-22 11:32:18,Completed
4,152,2020-05-09 03:43:04,Returned
5,258,2023-09-27 04:14:15,Completed
6,846,2019-09-14 05:33:17,Returned
7,362,2019-04-29 17:51:16,Completed
8,657,2022-06-09 09:26:35,Pending
9,280,2023-04-15 20:57:21,Pending
10,807,2024-06-11 01:00:19,Returned
11,285,2024-08-06 02:19:28,Returned
12,621,2021-12-31 22:55:03,Cancelled
13,59,2024-10-31 07:54:25,Cancelled
14,361,2019-08-05 12:47:45,Completed
15,768,2024-06-29 08:07:41,Returned
16,965,2024-11-09 10:20:32,Returned
17,942,2024-01-01 23:14:46,Returned
18,330,2023-12-31 15:38:24,Completed
19,170,2020-11-07 03:44:07,Returned
20,880,2018-11-13 17:46:05,Pending
21,903,2024-10-02 05:07:09,Returned
22,248,2018-04-12 23:14:07,Returned
23,842,2018-06-16 09:38:13,Completed
24,614,2024-06-10 05:10:29,Pending
25,627,2018-07-04 17:44:25,Cancelled
26,697,2022-06-19 09:04:48,Completed
27,57,2022-01-30 18:25:00,Cancelled
28,32,2018-04-27 05:32:58,Pending
29,753,2022-09-02 22:56:58,Cancelled
30,62,2022-10-01 10:19:15,Pending
31,591,2018-01-08 13:46:29,Cancelled
32,346,2024-05-07 08:04:14,Cancelled
33,573,2018-09-25 18:04:59,Pending
34,111,2019-05-27 05:27:50,Pending
35,281,2023-03-29 08:11:19,Completed
36,730,2022-10-12 22:01:38,Completed
37,800,2020-10-27 22:00:12,Cancelled
38,483,2021-06-08 17:24:02,Returned
39,254,2019-09-22 04:56:12,Completed
40,554,2021-09-23 14:32:47,Completed
41,853,2022-10-31 20:06:33,Cancelled
42,951,2024-12-23 15:08:31,Cancelled
43,100,2020-03-11 08:54:36,Returned
44,379,2021-06-22 08:02:41,Cancelled
45,171,2020-03-08 18:32:12,Returned
46,510,2019-08-07 15:11:38,Completed
47,885,2021-08-27 18:14:47,Returned
48,977,2022-06-27 18:21:45,Completed
49,600,2019-12-21 17:28:57,Pending
50,179,2022-09-09 03:28:39,Returned
51,965,2020-10-27 04:29:26,Pending
52,766,2020-06-13 10:11:23,Returned
53,563,2024-01-11 04:43:51,Cancelled
54,655,2021-12-20 10:00:22,Pending
55,39,2019-10-31 21:14:49,Returned
56,861,2022-06-18 11:48:07,Returned
57,455,2023-09-16 13:15:39,Cancelled
58,19,2019-09-07 12:54:35,Pending
59,317,2019-05-31 07:07:13,Completed
60,112,2021-03-26 14:17:20,Returned
61,855,2022-11-30 12:10:28,Completed
62,240,2018-08-02 05:20:23,Completed
63,695,2021-03-29 22:23:21,Returned
64,916,2020-10-07 21:59:44,Pending
65,35,2024-10-20 14:35:24,Cancelled
66,883,2021-02-26 15:07:03,Pending
67,220,2024-03-03 05:55:45,Cancelled
68,383,2024-07-15 07:26:07,Pending
69,110,2024-04-10 19:39:56,Returned
70,917,2023-10-29 20:08:43,Cancelled
71,803,2024-09-16 08:18:13,Pending
72,192,2018-12-18 18:04:28,Cancelled
73,241,2022-05-31 13:22:31,Pending
74,525,2022-11-06 00:12:04,Returned
75,801,2019-03-18 22:29:29,Pending
76,589,2021-11-04 16:55:59,Returned
77,143,2020-03-02 20:08:46,Completed
78,607,2022-07-25 13:15:11,Pending
79,317,2023-08-02 09:08:29,Returned
80,162,2019-04-10 15:54:39,Completed
81,807,2023-02-26 13:15:20,Returned
82,307,2023-05-06 06:31:32,Returned
83,136,2022-05-04 23:16:44,Returned
84,952,2024-08-25 04:15:48,Cancelled
85,880,2024-12-08 16:21:38,Pending
86,283,2021-05-06 06:24:17,Returned
87,298,2024-10-28 04:22:54,Completed
88,138,2018-12-11 02:54:32,Pending
89,691,2019-02-04 21:29:08,Cancelled
90,338,2018-10-27 10:24:13,Cancelled
91,619,2020-02-27 21:16:39,Cancelled
92,902,2021-03-19 19:26:20,Returned
93,52,2020-09-03 12:59:57,Pending
94,731,2020-07-05 20:57:33,Pending
95,959,2022-09-23 23:44:38,Returned
96,647,2021-12-04 15:51:26,Returned
97,11,2019-01-27 14:49:56,Cancelled
98,805,2018-01-13 20:49:33,Returned
99,608,2021-03-06 18:52:07,Cancelled
100,42,2020-03-26 18:52:17,Cancelled
101,635,2021-07-01 06:15:27,Returned
102,867,2023-12-26 02:02:18,Pending
103,687,2020-04-26 09:04:43,Returned
104,622,2021-08-26 00:42:14,Cancelled
105,176,2022-11-22 17:52:53,Completed
106,498,2024-09-01 18:33:25,Completed
107,83,2019-01-29 11:20:24,Pending
108,421,2019-06-23 18:54:20,Completed
109,755,2023-02-15 11:30:34,Completed
110,770,2024-09-05 11:30:34,Returned
111,729,2024-08-16 05:14:14,Completed
112,188,2022-05-28 15:01:13,Completed
113,162,2021-10-06 02:16:34,Pending
114,710,2022-07-29 20:02:26,Completed
115,863,2024-08-25 21:07:47,Returned
116,284,2022-10-30 19:38:34,Pending
117,478,2023-08-11 10:41:46,Returned
118,620,2024-03-09 11:28:12,Cancelled
119,514,2021-01-19 11:25:35,Completed
120,54,2019-08-07 04:51:24,Completed
121,92,2020-03-05 05:45:34,Cancelled
122,424,2018-05-21 02:39:37,Returned
123,532,2020-10-31 11:30:52,Completed
124,976,2024-05-18 22:59:12,Completed
125,47,2022-09-03 04:24:44,Pending
126,673,2024-07-08 07:39:10,Pending
127,598,2023-12-07 23:27:31,Returned
128,64,2024-07-31 17:50:15,Completed
129,703,2020-07-12 19:47:50,Pending
130,517,2019-12-21 02:29:57,Completed
131,483,2018-07-07 01:48:27,Completed
132,497,2018-01-06 04:40:49,Cancelled
133,607,2021-02-14 10:10:03,Returned
134,4,2019-08-04 06:35:45,Cancelled
135,180,2019-11-18 22:52:59,Returned
136,686,2023-10-28 17:48:34,Pending
137,877,2018-09-29 22:46:54,Returned
138,55,2021-01-19 02:29:20,Returned
139,279,2021-09-06 10:02:17,Pending
140,769,2024-07-18 16:03:53,Cancelled
141,907,2018-11-01 14:00:43,Cancelled
142,63,2018-12-21 00:29:33,Returned
143,757,2020-01-03 11:29:25,Pending
144,182,2022-10-30 14:38:04,Completed
145,40,2022-04-08 14:25:43,Cancelled
146,326,2023-02-22 00:27:29,Returned
147,254,2024-03-30 09:12:35,Pending
148,365,2021-12-25 02:41:17,Pending
149,511,2020-12-26 02:40:54,Completed
150,15,2023-08-08 10:44:27,Completed
151,356,2023-08-05 10:20:25,Completed
152,420,2024-05-30 22:45:36,Returned
153,437,2024-07-10 02:21:16,Pending
154,622,2024-05-07 03:18:52,Returned
155,438,2020-10-21 03:39:51,Completed
156,190,2024-04-01 19:51:42,Returned
157,747,2021-09-06 01:47:56,Completed
158,823,2018-05-02 04:44:08,Cancelled
159,178,2023-11-02 17:30:47,Cancelled
160,434,2023-09-06 22:09:18,Pending
161,656,2020-02-09 12:33:56,Pending
162,395,2021-07-03 16:37:54,Cancelled
163,66,2020-05-24 20:24:44,Cancelled
164,36,2024-12-24 16:34:21,Returned
165,647,2022-05-02 11:47:51,Completed
166,819,2022-04-28 04:16:41,Completed
167,727,2019-05-28 05:11:19,Returned
168,671,2021-12-02 14:45:48,Returned
169,272,2021-04-03 10:58:52,Pending
170,899,2024-03-13 11:37:17,Pending
171,147,2024-07-16 21:31:24,Cancelled
172,277,2018-12-29 15:32:01,Completed
173,648,2021-08-21 02:26:57,Cancelled
174,259,2020-05-14 01:28:14,Pending
175,879,2022-01-17 00:45:23,Cancelled
176,550,2018-04-28 05:22:24,Completed
177,72,2018-11-11 09:31:38,Pending
178,332,2021-02-10 22:25:01,Pending
179,472,2024-09-25 22:46:03,Cancelled
180,122,2024-02-24 04:34:39,Cancelled
181,141,2019-02-19 09:12:05,Returned
182,705,2021-07-27 16:09:17,Completed
183,203,2024-02-06 13:40:13,Completed
184,923,2020-05-08 19:58:13,Cancelled
185,329,2020-01-09 17:13:19,Pending
186,742,2019-04-03 20:07:44,Returned
187,529,2018-08-30 14:20:51,Completed
188,524,2019-01-20 05:38:37,Pending
189,400,2023-10-16 09:48:31,Completed
190,265,2018-02-21 14:33:07,Completed
191,122,2018-05-21 19:05:12,Returned
192,761,2022-04-18 20:56:42,Returned
193,399,2019-07-19 06:03:31,Completed
194,682,2024-12-16 00:39:18,Completed
195,347,2023-06-30 02:43:50,Completed
196,596,2020-03-15 16:34:45,Cancelled
197,182,2020-10-06 02:23:58,Cancelled
198,620,2019-08-14 17:03:10,Completed
199,821,2021-03-20 09:15:56,Pending
200,911,2018-03-23 14:51:58,Cancelled
201,474,2021-01-25 21:40:27,Returned
202,908,2019-04-09 01:10:20,Cancelled
203,467,2023-06-01 23:50:46,Pending
204,253,2020-06-02 22:34:51,Pending
205,373,2022-07-24 20:43:37,Returned
206,586,2019-10-21 11:31:44,Completed
207,608,2022-12-16 18:11:27,Returned
208,153,2019-07-17 15:06:03,Completed
209,516,2023-05-16 16:16:37,Pending
210,513,2020-03-31 21:15:10,Completed
211,48,2023-06-14 19:02:37,Pending
212,68,2024-04-01 05:07:18,Completed
213,343,2020-03-18 19:18:16,Completed
214,232,2018-02-13 16:41:13,Cancelled
215,428,2019-12-13 12:17:15,Cancelled
216,265,2019-07-20 19:39:04,Pending
217,432,2024-02-02 20:17:26,Cancelled
218,660,2023-04-12 01:24:08,Returned
219,945,2021-08-04 01:42:48,Completed
220,560,2024-07-23 01:18:41,Returned
221,975,2023-01-25 00:48:42,Pending
222,363,2023-06-09 08:09:54,Pending
223,284,2022-07-27 10:02:41,Pending
224,603,2023-02-14 08:10:45,Completed
225,611,2023-07-06 06:24:45,Returned
226,160,2018-04-23 01:16:36,Pending
227,183,2023-01-06 11:37:05,Completed
228,79,2018-10-07 08:26:58,Completed
229,492,2019-12-21 02:29:11,Completed
230,264,2021-06-13 15:49:12,Cancelled
231,610,2018-04-11 08:19:15,Pending
232,349,2018-07-31 02:14:02,Pending
233,796,2019-10-04 03:20:31,Cancelled
234,710,2020-03-24 17:44:52,Pending
235,758,2023-06-14 15:42:13,Cancelled
236,260,2019-03-27 13:03:30,Pending
237,873,2024-01-20 07:14:44,Cancelled
238,845,2022-08-18 00:16:56,Cancelled
239,161,2022-08-25 10:56:51,Cancelled
240,413,2024-03-23 19:31:47,Completed
241,90,2023-08-03 07:21:30,Returned
242,395,2020-12-29 17:40:43,Completed
243,952,2019-07-09 22:45:03,Completed
244,743,2018-04-23 11:47:11,Cancelled
245,883,2020-05-20 19:18:50,Pending
246,918,2018-12-12 00:27:58,Completed
247,250,2020-10-17 13:19:55,Returned
248,380,2023-11-27 21:10:17,Returned
249,33,2020-06-13 05:50:16,Cancelled
250,917,2020-01-04 21:23:17,Pending
251,135,2021-03-11 13:08:59,Completed
252,91,2018-02-16 04:47:21,Returned
253,570,2019-02-17 20:01:31,Completed
254,716,2021-10-24 13:27:52,Returned
255,699,2020-07-04 08:07:31,Pending
256,608,2019-06-24 17:47:06,Returned
257,947,2023-01-07 07:04:05,Completed
258,407,2018-03-12 09:37:22,Returned
259,856,2019-04-27 17:41:55,Completed
260,137,2022-01-12 13:48:35,Cancelled
261,304,2024-09-23 01:27:47,Returned
262,822,2024-01-09 08:44:48,Returned
263,10,2023-08-09 01:00:17,Completed
264,367,2018-02-03 05:46:23,Pending
265,484,2021-05-23 18:05:04,Pending
266,449,2022-11-05 03:09:20,Pending
267,393,2021-12-06 14:17:36,Completed
268,957,2024-03-26 16:48:33,Cancelled
269,608,2019-07-17 07:05:30,Completed
270,401,2020-03-05 20:19:37,Pending
271,681,2023-06-24 18:57:39,Pending
272,264,2018-11-08 18:15:29,Pending
273,676,2019-07-27 21:55:20,Completed
274,587,2019-11-05 23:05:30,Completed
275,310,2022-12-24 07:06:20,Pending
276,219,2023-06-24 10:06:09,Completed
277,978,2023-06-22 09:39:56,Completed
278,795,2021-08-11 09:51:24,Pending
279,615,2018-01-03 22:49:52,Completed
280,956,2023-08-22 21:31:27,Returned
281,819,2023-12-06 08:15:01,Completed
282,268,2018-03-19 00:39:47,Completed
283,281,2021-05-30 19:42:58,Completed
284,152,2023-01-01 15:15:45,Returned
285,75,2019-07-06 03:39:51,Pending
286,798,2023-03-24 00:01:43,Completed
287,845,2021-10-29 19:12:23,Pending
288,727,2024-12-04 10:55:08,Returned
289,946,2024-12-25 15:13:23,Returned
290,925,2022-06-30 11:55:13,Completed
291,921,2021-11-29 01:49:45,Pending
292,894,2019-09-08 04:20:07,Completed
293,111,2024-02-12 21:43:04,Completed
294,911,2018-09-01 12:28:26,Pending
295,504,2019-11-12 08:39:46,Returned
296,914,2022-03-01 19:58:43,Completed
297,270,2018-03-30 23:51:32,Completed
